Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Dechtice;obecná NZ;Fungujúca;Dechtice 484;919 53;Dechtice;Trnava;Trnavský;Karol Zachar;335575290;;starosta@dechtice.sk
Obecná knižnica Tomášovce;obecná NZ;Fungujúca;Tomášovce 55;980 21;Tomášovce;Rimavská Sobota;Banskobystrický;Vojtech Gyurán;475697105;;ou.tomasovce@gmail.com
Obecná knižnica Tekolďany;obecná NZ;Stagnujúca;Tekolďany 30;920 62;Tekolďany;Hlohovec;Trnavský;Alena Rolincová;337446162;;obectekoldany@zoznam.sk
Obecná knižnica Lehota nad Rimavicou;obecná NZ;Fungujúca;Lehota nad Rimavicou 134;980 53;Lehota nad Rimavicou;Rimavská Sobota;Banskobystrický;Ivan Antal;475495438;;oulehotanr@gmail.com
Obecná knižnica Štós;obecná NZ;Fungujúca;Hlavná 143;044 26;Štós;Košice - okolie;Košický;Anton Imling;908988019;;stos1@post.sk
Obecná knižnica Kolačno;obecná NZ;Fungujúca;Kolačno 164;972 47;Kolačno;Partizánske;Trenčiansky;Ing. Lýdia Petríková;387486310;;obeckolacno@stonline.sk
Miestna ľudová knižnica pri OcÚ Čavoj;obecná NZ;Stagnujúca;Čavoj 86;972 29;Čavoj;Prievidza;Trenčiansky;Ján Novotka;465458002;;obec.cavoj@centrum.sk
Obecná knižnica Rudnianska Lehota;obecná NZ;Fungujúca;Rudnianska Lehota 225;972 26;Rudnianska Lehota;Prievidza;Trenčiansky;Ivan Javorček;465455042;;ourlehota@mail.t-com.sk
Obecná knižnica Slavec;obecná NZ;Stagnujúca;Slavec 109;049 11;Slavec;Rožňava;Košický;Valentín Borzy;587921332;;obec.slavec@stonline.sk
Obecná knižnica Miezgovce;obecná NZ;Fungujúca;Miezgovce 80;957 01;Miezgovce;Bánovce nad Bebravou;Trenčiansky;Juraj Trgyňa;902257476;;obecmiezgovce@stonline.sk
Obecná knižnica Povrazník;obecná NZ;Fungujúca;Povrazník 22;976 55;Povrazník;Banská Bystrica;Banskobystrický;Ivan Kováč;910912543;;povraznik@povraznik.sk
Obecná knižnica Pohronská Polhora;obecná NZ;Stagnujúca;Hlavná 62;976 56;Pohronská Polhora;Brezno;Banskobystrický;Mgr. Hyacinta Tyčiaková;486199211;;ocupolhora@stonline.sk
Obecná knižnica Diviaky nad Nitricou;obecná NZ;Fungujúca;Diviaky nad Nitricou 20;972 25;Diviaky nad Nitricou;Prievidza;Trenčiansky;Ing. Július Duranzia;915987229;;obec@diviaky.sk
Obecná knižnica Sebedražie;obecná NZ;Fungujúca;Hlavná 471/13;972 05;Sebedražie;Prievidza;Trenčiansky;Ing. Peter Juríček;905790905;;starosta@sebedrazie.sk
Obecná knižnica Šávoľ;obecná NZ;Fungujúca;Šávoľ 220;985 41;Šávoľ;Lučenec;Banskobystrický;Július Ferencz;474380104;;ocu.savol@gmail.com
Obecná knižnica Podhradie;obecná NZ;Zrušená;Podhradie 92;972 42;Podhradie;Prievidza;Trenčiansky;Ružena Boboková;465469400;;podhradie@prievidzanet.sk
Obecná knižnica Bučany;obecná NZ;Fungujúca;Bučany 269;919 28;Bučany;Trnava;Trnavský;Sebastian Lančarič;337435528;;obec.bucany@gmail.com
Miestna ľudová knižnica Poluvsie;obecná NZ;Fungujúca;Poluvsie 251;972 16;Poluvsie;Prievidza;Trenčiansky;Martin Šujan;465442102;;poluvsie@poluvsie.sk
Obecná knižnica Čierna Lehota;obecná NZ;Stagnujúca;Čierna Lehota 40;956 53;Čierna Lehota;Bánovce nad Bebravou;Trenčiansky;Dušan Horák;901767110;;obecnzwr@stonline.sk
Obecná knižnica Bziny;obecná NZ;Fungujúca;Brezovecká 96/8;026 01;Bziny;Dolný Kubín;Žilinský;PhDr. Ján Beňuš;435864629;;benusjan1@gmail.com
Obecná knižnica Trenčianske Stankovce;obecná NZ;Fungujúca;Trenčianske Stankovce 362;913 11;Trenčianske Stankovce;Trenčín;Trenčiansky;Ing. Eva Beňovičová;908285834;;starosta@trencianskestankovce.sk
Obecná knižnica Nitrianske Pravno;obecná NZ;Fungujúca;Námestie SNP 360/18;972 13;Nitrianske Pravno;Prievidza;Trenčiansky;Ing. Jozef Balčirák;465447510;;ocu@nitrianskepravno.sk
Obecná knižnica Borovce;obecná NZ;Fungujúca;Borovce 168;922 09;Borovce;Piešťany;Trnavský;Ivan Šiška;337796181;;info@borovce.sk
Obecná knižnica Hradište;obecná NZ;Fungujúca;Hradište 278;958 54;Hradište;Partizánske;Trenčiansky;Ing, Pavel Kubačka;915030853;;podatelna@obec-hradiste.sk
Obecná knižnica Jasenie;obecná NZ;Fungujúca;Horná 235;976 75;Jasenie;Brezno;Banskobystrický;Elena Kordíková;907143534;;obec.jasenie@stonline.sk
Obecná knižnica Ostrov;obecná NZ;Fungujúca;Ostrov 131;922 01;Ostrov;Piešťany;Trnavský;PhDr. Dana Borovská;337746202;;obecostrov@obecostrov.sk
Obecná knižnica Ochtiná;obecná NZ;Fungujúca;Ochtiná 52;049 35;Ochtiná;Rožňava;Košický;Marián Kapusta;587882670;;ochtina@stonline.sk
Obecná knižnica Istebné;obecná NZ;Fungujúca;Istebné 142;027 53;Istebné;Dolný Kubín;Žilinský;Ing. Ján Čief;910190786;;ocuistebne@dkubin.sk
Obecná knižnica Šuľa;obecná NZ;Stagnujúca;Šuľa 53;991 01;Šuľa;Veľký Krtíš;Banskobystrický;Miroslav Vozaf;918308580;;
Obecná knižnica Ratnovce;obecná NZ;Fungujúca;Ratnovce 152;922 31;Ratnovce;Piešťany;Trnavský;Martin Adamča;337737107;;ou@obec-ratnovce.sk
Obecná knižnica Bystrá;obecná NZ;Fungujúca;Bystrá 61;977 01;Bystrá;Brezno;Banskobystrický;Marian Alberty;486195241;;obecbystra@stonline.sk
Obecná knižnica Poruba;obecná NZ;Fungujúca;Poruba 95;972 11;Poruba;Prievidza;Trenčiansky;Ing. Helena Čavojská;465482218;;obecporuba@stonline.sk
Obecná knižnica Oľšavce;obecná NZ;Fungujúca;Oľšavce 9;086 46;Oľšavce;Bardejov;Prešovský;Slavomír Havír;547393240;;obecolsavce@centrum.sk
Obecná knižnica Fačkov;obecná NZ;Fungujúca;Fačkov 190;013 15;Fačkov;Žilina;Žilinský;Ing. Miroslav Mikula;908694361;;starosta@obecfackov.sk
Obecná knižnica Seč;obecná NZ;Fungujúca;Seč 133;972 26;Seč;Prievidza;Trenčiansky;Rudolf Hopko;465455522;;ousec@stonline.sk
Ľudová knižnica Nevidzany;obecná NZ;Stagnujúca;Nevidzany 49;972 27;Nevidzany;Prievidza;Trenčiansky;Ing. Beata Vrecková;465457123;;obecnevidzanypd@centrum.sk
Obecná knižnica Prusy;obecná NZ;Fungujúca;Prusy 111;957 03;Prusy;Bánovce nad Bebravou;Trenčiansky;Ing. Ján Tomášik;387682419;;obecprusy@stonline.sk
Obecná knižnica Oslany;obecná NZ;Stagnujúca;Školská;972 47;Oslany;Prievidza;Trenčiansky;RNDr. František Szalay;907134527;;podatelna@oslany.sk
Obecná knižnica Košická Polianka;obecná NZ;Fungujúca;Košická Polianka 122;044 41;Košická Polianka;Košice - okolie;Košický;František Smrčo;556854184;;kosickapolianka@netkosice.sk
Obecná knižnica Kostolná Ves;obecná NZ;Fungujúca;Kostolná Ves 62;972 26;Kostolná Ves;Prievidza;Trenčiansky;Bc. Stanislav Pánis;465455438;;ocukostolnaves@mail.t-com.sk
Miestne kultúrne stredisko - Ľudová knižnica Uhrovec;obecná NZ;Fungujúca;SNP 86/7;956 41;Uhrovec;Bánovce nad Bebravou;Trenčiansky;Mgr. Elena Čabráková;905772895;;obec@uhrovec.sk
Obecná knižnica Kostolné Kračany;obecná NZ;Fungujúca;Šipošovská 149;930 03;Kostolné Kračany;Dunajská Streda;Trnavský;Ladislav Gódány;902468026;;kostolnekracany@nextra.sk
Obecná knižnica Košický Klečenov;obecná NZ;Fungujúca;Košický Klečenov 9;044 45;Košický Klečenov;Košice - okolie;Košický;Gabriela Uchaľová;915101584;;obec.kosicky.klecenov@atlas.sk
Obecná knižnica Pastuchov;obecná NZ;Fungujúca;Pastuchov 247;920 63;Pastuchov;Hlohovec;Trnavský;Ladislav Ištok;337449572;;pastuchovou@mail.t-com.sk
Obecná knižnica Veľká Čausa;obecná NZ;Fungujúca;Veľká Čausa 83;971 01;Veľká Čausa;Prievidza;Trenčiansky;Dušan Ďurdina;465471139;;velka_causa@stonline.sk
Miestna ľudová knižnica Livinské Opatovce;obecná NZ;Stagnujúca;Livinské Opatovce 86;956 32;Livinské Opatovce;Partizánske;Trenčiansky;Daniela Hanová;387688153;;obecliv.opatovce@stonline.sk
Obecná knižnica Lúč na Ostrove;obecná NZ;Fungujúca;Veľká Lúč 20;930 03;Lúč;Dunajská Streda;Trnavský;Ladislav Kiss;907037220;;sekretariat@lucnaostrove.sk
Obecná knižnica Rožkovany;obecná NZ;Fungujúca;Rožkovany 106;082 71;Rožkovany;Sabinov;Prešovský;Mgr. Miroslav Poklemba;915765810;;obec@rozkovany.sk
Obecná knižnica Brehy;obecná NZ;Fungujúca;Brehy 117;968 01;Brehy;Žarnovica;Banskobystrický;Ing. Juraj Tencer;456857008;;brehy@brehy.sk
Obecná knižnica Hodruša - Hámre;obecná NZ;Fungujúca;Hodruša - Hámre 185;966 61;Hodruša - Hámre;Žarnovica;Banskobystrický;Jozef Uram;456844415;;sekretariat@hodrusa-hamre.sk
Miestna ľudová knižnica Horné Hámre;obecná NZ;Fungujúca;Horné Hámre 45;966 71;Horné Hámre;Žarnovica;Banskobystrický;Ing. Milan Mokrý;456812780;;hhamre@stonline.sk
Obecná knižnica Hrabičov;obecná NZ;Fungujúca;Hrabičov 188;966 78;Hrabičov;Žarnovica;Banskobystrický;Ján Adámik;456866120;;obec@hrabicov.sk
Obecná knižnica Hronský Beňadik;obecná NZ;Fungujúca;Mýtne nám. 445/26;966 53;Hronský Beňadik;Žarnovica;Banskobystrický;Stanislav Lopúch;456893230;;ou.h.benadik@stonline.sk
Obecná knižnica Kľak;obecná NZ;Fungujúca;Kľak 9;966 77;Kľak;Žarnovica;Banskobystrický;Ľuboš Haring;456866100;;obecklak@mail.t-com.sk
Obecná knižnica Trakovice;obecná NZ;Fungujúca;Trakovice 38;919 33;Trakovice;Hlohovec;Trnavský;Ing. Ľudovít Tolarovič;337434222;;obec@trakovice.sk
Obecná knižnica Dlhá;obecná NZ;Fungujúca;Dlhá 1;919 01;Dlhá;Trnava;Trnavský;Rudolf Braniša;335580437;;ocudlha@stonline.sk
Obecná knižnica Malá Lehota;obecná NZ;Stagnujúca;Malá Lehota 383;966 42;Malá Lehota;Žarnovica;Banskobystrický;Marta Tisovská;456897519;;obecmalalehota@nbsiet.sk
Obecná knižnica Orovnica;obecná NZ;Fungujúca;Orovnica 96;966 52;Orovnica;Žarnovica;Banskobystrický;Bc. Katarína Forgáčová;456856655;;ocuorovnica@stonline.sk
Obecná knižnica Ostrý Grúň;obecná NZ;Fungujúca;Ostrý Grúň 193;966 77;Ostrý Grúň;Žarnovica;Banskobystrický;Bc. Jana Angletová;456866114;;obec@ostrygrun.sk
Obecná knižnica Suchá nad Parnou;obecná NZ;Fungujúca;Suchá nad Parnou 68;919 01;Suchá nad Parnou;Trnava;Trnavský;Ing. Daniela Balážová, PhD.;911388252;;obecsucha@gmail.com
Obecná knižnica Rudno nad Hronom;obecná NZ;Fungujúca;Rudno nad Hronom 16;966 51;Rudno nad Hronom;Žarnovica;Banskobystrický;Ľubomír Kršjak;456856253;;rudnonadhronom@rudnonadhronom.sk
Obecná knižnica Siladice;obecná NZ;Fungujúca;Siladice 232;920 52;Siladice;Hlohovec;Trnavský;Jana Chynoradska;337445122;;obecnyurad@siladice.sk
Obecná knižnica Tekovská Breznica;obecná NZ;Fungujúca;Tekovská Breznica 566;966 52;Tekovská Breznica;Žarnovica;Banskobystrický;Ing. Jozef Dolinaj;456861169;;ocutbreznica@stonline.sk
Obecná knižnica Divinka s pobočkou v Lalinku;obecná NZ;Fungujúca;Divinka 114;013 31;Divinka;Žilina;Žilinský;Ing. Michal Krško;415684594;;obec@divinka-lalinok.sk
Obecná knižnica Vyšný Kazimír;obecná NZ;Fungujúca;Vyšný Kazimír 57;094 09;Vyšný Kazimír;Vranov nad Topľou;Prešovský;Bc. Michal Duda;574422001;;ocu.vkazimir@stonline.sk
Obecná knižnica Kožany;obecná NZ;Fungujúca;Kožany 21;086 12;Kožany;Bardejov;Prešovský;Peter Rajnič;907908572;;obeckozany@centrum.sk
Obecná knižnica Michal na Ostrove;obecná NZ;Fungujúca;Hlavná 132;930 35;Michal na Ostrove;Dunajská Streda;Trnavský;Ladislav Bögi;315543103;;ocumichal@mail.t-com.sk
Obecná knižnica Sedliská;obecná NZ;Fungujúca;Sedliská 85;094 09;Sedliská;Vranov nad Topľou;Prešovský;Ing. Jozef Dobrocký;574476247;;ocu.sedliska@slovanet.sk
Obecná knižnica Trnkov;obecná NZ;Stagnujúca;Trnkov 42;080 12;Trnkov;Prešov;Prešovský;Ing. Jiří Ballarin;903638278;;ocu.trnkov@centrum.sk
Miestna knižnica Tuhrina;obecná NZ;Stagnujúca;Tuhrina 70;082 07;Tuhrina;Prešov;Prešovský;Monika Dražinská;908800055;;obectuhrina@gmail.com
Miestna ľudová knižnica Nitrianske Rudno;obecná NZ;Fungujúca;Školská 492/15;972 26;Nitrianske Rudno;Prievidza;Trenčiansky;Veronika Jurenková;908743612;;ocu.nitrianskerudno@stonline.sk
Obecná knižnica Muľa;obecná NZ;Stagnujúca;Muľa 20;991 22;Muľa;Veľký Krtíš;Banskobystrický;Vojtech Nagy;474892345;;obec.mula@gmail.com
Obecná knižnica Kšinná;obecná NZ;Fungujúca;Kšinná 102;956 41;Kšinná;Bánovce nad Bebravou;Trenčiansky;Ing. Miroslav Tuchyňa;387699122;;obec.ksinna@post.sk
Obecná knižnica Podbiel;obecná NZ;Fungujúca;Podbiel 247;027 42;Podbiel;Tvrdošín;Žilinský;Slavomír Korčuška;435381031;;podbiel@podbiel.sk
Obecná knižnica Inovce;obecná NZ;Stagnujúca;Inovce 28;072 64;Inovce;Sobrance;Košický;Milan Poľak;566582514;;inovce@inovce.sk
Obecná knižnica Krčava;obecná NZ;Stagnujúca;Krčava 17;075 51;Krčava;Sobrance;Košický;Ing. Jozef Hreňko;566599222;;obeckrcava@lekosonline.sk
Obecná knižnica Dolné Srnie;obecná NZ;Fungujúca;Dolné Srnie 387;916 41;Dolné Srnie;Nové Mesto nad Váhom;Trenčiansky;Ing. Miroslav Skovajsa;327792431;;sekretariat@dolnesrnie.sk
Obecná knižnica Oravské Veselé;obecná NZ;Fungujúca;Oravské Veselé 374;029 62;Oravské Veselé;Námestovo;Žilinský;Ivan Patron;918381771;;starosta.maslanak@oravskevesele.sk
Obecná knižnica Ruský Hrabovec;obecná NZ;Stagnujúca;Ruský Hrabovec 51;072 64;Ruský Hrabovec;Sobrance;Košický;Juraj Cinkanič;566584086;;ocuruskyhrabovec@centrum.sk
Obecná knižnica Lubina;obecná NZ;Fungujúca;Lubina 56;916 12;Lubina;Nové Mesto nad Váhom;Trenčiansky;Ing. Martin Beňatinský;915322263;;sekretariat@obeclubina
Obecná knižnica Opatovce nad Nitrou;obecná NZ;Stagnujúca;Opatovce nad Nitrou 139;972 02;Opatovce nad Nitrou;Prievidza;Trenčiansky;Mgr. Dana Melišková;465186060;;ocu@opatovcenadnitrou.sk
Obecná knižnica Kostolná - Záriečie;obecná NZ;Stagnujúca;Kostolná - Záriečie 148;913 04;Kostolná - Záriečie;Trenčín;Trenčiansky;Ing. Peter Pilko;326499320;;obec@kostolnazariecie.sk
Obecná knižnica Šarišské Sokolovce;obecná NZ;Fungujúca;Šarišské Sokolovce 17;082 66;Šarišské Sokolovce;Sabinov;Prešovský;Ing. Daniel Mikolaj;514521426;;podatelna@sarisskesokolovce.sk
Obecná knižnica Radzovce;obecná NZ;Fungujúca;Radzovce 507;985 58;Radzovce;Lučenec;Banskobystrický;Ing. Peter György;474491127;;obecradzovce@mail.t-com.sk
Obecná knižnica Matiaška;obecná NZ;Fungujúca;Matiaška 56;094 31;Matiaška;Vranov nad Topľou;Prešovský;Anna Pavelicová;574452202;;ou.matiaska@gmail.com
Obecná knižnica Bajerov;obecná NZ;Fungujúca;Bajerov 101;082 41;Bajerov;Prešov;Prešovský;Vladimír Mruz;517783115;;obecbajerov@centrum.sk
Obecná knižnica Tichý Potok;obecná NZ;Fungujúca;Tichý Potok 139;082 74;Tichý Potok;Sabinov;Prešovský;Mgr. Ľubica Džugánová;907962694;;obectp@gmail.com
Obecná knižnica Studienka;obecná NZ;Fungujúca;Studienka 348;908 75;Studienka;Malacky;Bratislavský;Ing. Boris Soukup;347782151;;starosta.obce.studienka@gmail.com
Obecná knižnica Nový Tekov;obecná NZ;Fungujúca;Nový Tekov 26;935 33;Nový Tekov;Levice;Nitriansky;Silvia Hrušková;366387121;;obec@novytekov.sk
Obecná knižnica Socovce;obecná NZ;Fungujúca;Socovce 33;038 43;Socovce;Martin;Žilinský;Miroslava Suržinová;907838100;;socovce@gmail.com
Obecná knižnica Kraľovany;obecná NZ;Stagnujúca;Kraľovany 186;027 51;Kraľovany;Dolný Kubín;Žilinský;Ľubor Had;902279796;;obec.kralovany@gmail.com
Obecná knižnica Krivosúd - Bodovka;obecná NZ;Stagnujúca;Krivosúd - Bodovka 88;913 11;Krivosúd - Bodovka;Trenčín;Trenčiansky;Ing. Vladimír Kmeťo;326496793;;obec@krivosud-bodovka.sk
Obecná knižnica Bežovce;obecná NZ;Fungujúca;Bežovce 184;072 53;Bežovce;Sobrance;Košický;Mgr. Tomáš Tkáč;566590219;;oubezovce@lekosonline.sk
Obecná knižnica Kanianka;obecná NZ;Fungujúca;SNP 583/1;972 17;Kanianka;Prievidza;Trenčiansky;Ing. Ivor Husár;908817945;;ocu.kanianka@stonline.sk
Obecná knižnica Bartošova Lehôtka;obecná NZ;Fungujúca;Bartošova Lehôtka 81;967 01;Bartošova Lehôtka;Žiar nad Hronom;Banskobystrický;Ľubomír Bielik;456726266;;obecbartosovalehotka@stonline.sk
Miestna ľudová knižnica Bzenica;obecná NZ;Fungujúca;Bzenica 74;966 01;Bzenica;Žiar nad Hronom;Banskobystrický;Jozef Dekýš;456769030;;bzenica@slovanet.sk
Obecná knižnica Dolná Trnávka;obecná NZ;Stagnujúca;Dolná Trnávka 66;966 21;Dolná Trnávka;Žiar nad Hronom;Banskobystrický;Ing. Miroslav Grekčo;456761628;;starosta@dolnatrnavka.sk
Obecná knižnica Eleny Čepčekovej Dolná Ždaňa;obecná NZ;Fungujúca;Dolná Ždaňa 46;966 01;Dolná Ždaňa;Žiar nad Hronom;Banskobystrický;Bc. Andrea Murgašová;456761397;;obec@dolnazdana.sk
Obecná knižnica Hliník nad Hronom;obecná NZ;Fungujúca;Sovietskej armády 355;966 01;Hliník nad Hronom;Žiar nad Hronom;Banskobystrický;Mgr. Dušan Antal;456761278;;hlinikobec@stonline.sk
Obecná knižnica Horná Ves;obecná NZ;Fungujúca;Horná Ves 17;967 01;Horná Ves;Žiar nad Hronom;Banskobystrický;Simona Holicová;456742518;;ocu@obechornaves.sk
Obecná knižnica Horná Ždaňa;obecná NZ;Fungujúca;Horná Ždaňa 167;966 04;Horná Ždaňa;Žiar nad Hronom;Banskobystrický;Alena Bugárová;456766138;;podatelna@hornazdana.sk
Ľudová knižnica Baka;obecná NZ;Fungujúca;Baka 262;930 04;Baka;Dunajská Streda;Trnavský;Alžbeta Csíziková;315594716;;obecbaka@stonline.sk
Miestna ľudová knižnica Uzovce;obecná NZ;Fungujúca;Uzovce 138;082 66;Uzovce;Sabinov;Prešovský;Vincent Tomko;910217835;;ocuuzovce@zoznam.sk
Obecná knižnica Jasenová;obecná NZ;Fungujúca;Jasenová 137;026 01;Jasenová;Dolný Kubín;Žilinský;Rajmund Bradík;435862306;;obecjasenova@mail.t-com.sk
Obecná knižnica Osádka;obecná NZ;Stagnujúca;Osádka 47;026 01;Osádka;Dolný Kubín;Žilinský;Pavol Mareták;435895121;;osadka.ocu@gmail.com
Obecná knižnica Dolný Bar;obecná NZ;Stagnujúca;Dolný Bar 30;930 14;Dolný Bar;Dunajská Streda;Trnavský;Ing. Bereczk Oskar;315513105;;obec.dolnybar@stonline.sk
Obecná knižnica Vydrany;obecná NZ;Fungujúca;Vydrany 71;930 16;Vydrany;Dunajská Streda;Trnavský;Mgr. Ladislav Balódi;315522125;;ocu@vydrany.sk
Obecná knižnica Lom nad Rimavicou;obecná NZ;Fungujúca;Lom nad Rimavicou 3;976 53;Lom nad Rimavicou;Brezno;Banskobystrický;Vladimír Vetrák;910999230;;lomnadrimavicou@azet.sk
Obecná knižnica Hronská Dúbrava;obecná NZ;Stagnujúca;Hronská Dúbrava 112;966 11;Hronská Dúbrava;Žiar nad Hronom;Banskobystrický;Mgr. Jozef Brhlík;456775365;;starosta@hronskadubrava.sk
Obecná knižnica Ihráč;obecná NZ;Stagnujúca;Ihráč 57;967 01;Ihráč;Žiar nad Hronom;Banskobystrický;Ľudmila Febenová;456726173;;obec@hrac.sk
Obecná knižnica Janova Lehota;obecná NZ;Fungujúca;Janova Lehota 38;966 24;Janova Lehota;Žiar nad Hronom;Banskobystrický;Ing. Božena Kováčová;456726261;;janovalehota@janovalehota.sk
Miestna ľudová knižnica Jastrabá;obecná NZ;Stagnujúca;Jastrabá 130;967 01;Jastrabá;Žiar nad Hronom;Banskobystrický;Vojtech Sklenár;456733324;;ocu@jastraba.eu
Obecná knižnica Kosorín;obecná NZ;Fungujúca;Kosorín 117;966 24;Kosorín;Žiar nad Hronom;Banskobystrický;Ing. Ľuboš Pinka;456726631;;obec@kosorin.sk
Obecná knižnica Lehôtka pod Brehmi;obecná NZ;Fungujúca;Lehôtka pod Brehmi 22;966 01;Lehôtka pod Brehmi;Žiar nad Hronom;Banskobystrický;Ing. Juraj Zaťko;456761149;;obeclehotka@post.sk
Obecná knižnica Lovča;obecná NZ;Fungujúca;Geromettova 95;966 21;Lovča;Žiar nad Hronom;Banskobystrický;Ondrej Bahno;456732835;;lovca@lovca.sk
Obecná knižnica Lovčica - Trubín;obecná NZ;Fungujúca;Lovčica - Trubín 116;966 23;Lovčica - Trubín;Žiar nad Hronom;Banskobystrický;Rudolf Námešný;456790126;;obecnyuradlt@stonline.sk
Obecná knižnica Lutila;obecná NZ;Fungujúca;Slobodné 23;966 22;Lutila;Žiar nad Hronom;Banskobystrický;Ján Pružina;918855427;;starosta@lutila.sk
Obecná knižnica Nevoľné;obecná NZ;Fungujúca;Nevoľné 33;967 01;Nevoľné;Žiar nad Hronom;Banskobystrický;Štefan Henžel;456743050;;obecnevolne@stonline.sk
Obecná knižnica Pitelová;obecná NZ;Fungujúca;Pitelová 79;966 11;Pitelová;Žiar nad Hronom;Banskobystrický;Ján Kubík;456775131;;ocupitelova@stonline.sk
Obecná knižnica Horná Lehota;obecná NZ;Stagnujúca;Horná Lehota 79;027 41;Horná Lehota;Dolný Kubín;Žilinský;Jozef Mikulaš;435893226;;ouhornalehota@orava.sk
Obecná knižnica Prestavlky;obecná NZ;Fungujúca;Prestavlky 191;966 01;Prestavlky;Žiar nad Hronom;Banskobystrický;Ján Abrahám;456773170;;starosta@prestavlky.sk
Obecná knižnica Prochot;obecná NZ;Fungujúca;Prochot 39;966 04;Prochot;Žiar nad Hronom;Banskobystrický;Darina Gajdošová;456726838;;obecnyuradprochot@stonline.sk
Obecná knižnica Repište;obecná NZ;Fungujúca;Repište 157;966 03;Repište;Žiar nad Hronom;Banskobystrický;Vladimír Šalkovský;456771098;;obecrepiste1@stonline.sk
Obecná knižnica Sklené Teplice;obecná NZ;Fungujúca;Sklené Teplice 161;966 03;Sklené Teplice;Žiar nad Hronom;Banskobystrický;Ing. Ľubomír Meliš;456771123;;starosta@sklene-teplice.sk
Obecná knižnica Stará Kremnička;obecná NZ;Fungujúca;Stará Kremnička 198;965 01;Stará Kremnička;Žiar nad Hronom;Banskobystrický;Dušan Rajčan;456737114;;obec@starakremnicka.sk
Obecná knižnica Trnavá Hora;obecná NZ;Fungujúca;Okružná cesta 229/21;966 11;Trnavá Hora;Žiar nad Hronom;Banskobystrický;Ing. Ján Harman;456775121;;obec@trnavahora.sk
Miestna ľudová knižnica Cigeľ;obecná NZ;Fungujúca;Cigeľ 190;971 01;Cigeľ;Prievidza;Trenčiansky;Štefan Mjartan;465487036;;podatelna@cigel.sk
Obecná knižnica Vyhne;obecná NZ;Fungujúca;Vyhne 100;966 02;Vyhne;Žiar nad Hronom;Banskobystrický;Vladimír Bevelaqua;904873238;;vyhne@vyhne.sk
Obecná knižnica Bodorová;obecná NZ;Fungujúca;Bodorová 59;038 45;Bodorová;Turčianske Teplice;Žilinský;Ján Fábry;434947151;;bodorova@gaya.sk
Obecná knižnica Hrabkov;obecná NZ;Stagnujúca;Hrabkov 159;082 33;Hrabkov;Prešov;Prešovský;Jaroslav Hovančák;517956161;;starosta@hrabkov.sk
Obecná knižnica Okružná;obecná NZ;Stagnujúca;Okružná 15;082 12;Okružná;Prešov;Prešovský;Mgr. Pavol Lackanič;517942170;;obecokruzna@azet.sk
Obecná knižnica Horný Bar;obecná NZ;Fungujúca;Horný Bar 184;930 33;Horný Bar;Dunajská Streda;Trnavský;Štefan Bodó;315597117;;ouhornybar@stonline.sk
Obecná knižnica Jovsa;obecná NZ;Fungujúca;Jovsa 242;072 32;Jovsa;Michalovce;Košický;PaedDr. Katarína Kereštanová;566983280;;skolajovsa@gmail.com
Obecná knižnica Kaluža;obecná NZ;Stagnujúca;Kaluža 4;072 36;Kaluža;Michalovce;Košický;Ing. Ján Čuchran;566492117;;urad@kaluza.sk
Obecná knižnica Hažín;obecná NZ;Fungujúca;Hažín 122;072 34;Hažín;Michalovce;Košický;Ing. Marianna Šimková;566471287;;hazin@lekosonline.sk
Obecná knižnica Hatalov;obecná NZ;Fungujúca;Hatalov 185;072 16;Hatalov;Michalovce;Košický;Vladimír Kováč;566493284;;obec.hatalov@gmail.com
Obecná knižnica Ľudmily Podjavorinskej Bzince pod Javorinou;obecná NZ;Stagnujúca;Bzince pod Javorinou 72;916 11;Bzince pod Javorinou;Nové Mesto nad Váhom;Trenčiansky;Pavel Bahník;327739234;;starosta@obecbzince.sk
Obecná knižnica Bracovce;obecná NZ;Stagnujúca;Bracovce 275;072 05;Bracovce;Michalovce;Košický;Vladimír Doci;566495318;;obecbracovce@centrum.sk
Obecná knižnica Oreské;obecná NZ;Fungujúca;Oreské 129;072 23;Oreské;Michalovce;Košický;Milan Havrilčák;566886061;;oreske@3gpsnet.sk
Obecná knižnica Lúčky;obecná NZ;Fungujúca;Lúčky 114;072 34;Lúčky;Michalovce;Košický;Mária Sekletárová;566471216;;oculucky@pobox.sk
Obecná knižnica Ruská;obecná NZ;Fungujúca;Ruská 61;076 77;Ruská;Michalovce;Košický;Imrich Lakatoš;911787003;;obec.ruska61@gmail.com
Obecná knižnica Záborie;obecná NZ;Fungujúca;Záborie 21;038 03;Záborie;Martin;Žilinský;Ján Záborský;434262116;;ouzaborie@gmail.com
Obecná knižnica Ovčie;obecná NZ;Stagnujúca;Ovčie 32;082 38;Ovčie;Prešov;Prešovský;Ján Farkas;517911207;;obecovcie@gmail.com
Obecná knižnica Remetské Hámre;obecná NZ;Fungujúca;Remetské Hámre 83;072 41;Remetské Hámre;Sobrance;Košický;Michal Pado;907435339;;urad@remetskehamre.sk
Obecná knižnica Bajany;obecná NZ;Fungujúca;Bajany 161;072 54;Bajany;Michalovce;Košický;Bc. František Genco;566494231;;ocubajany@zoznam.sk
